team_a_name,team_b_name,team_a_avg_goals,team_b_avg_goals,team_a_recent_form,team_b_recent_form,match_location,weather_condition,result
1,2484885,0.55,1.39,5,4,neutral,sunny,team_b_win
2,2484884,1.75,1.55,5,4,home,rainy,team_b_win
3,2484883,1.55,2.37,4,5,away,cloudy,draw
4,2484882,0.99,3.06,2,1,home,sunny,draw
5,2484881,2.55,1.31,2,1,away,rainy,team_a_win
6,2484880,2.2,0.67,2,5,neutral,rainy,draw
7,2484879,1.87,1.49,2,1,home,cloudy,draw
8,2484878,0.52,1.81,4,2,away,rainy,team_b_win
9,2484877,1.05,3.05,3,1,neutral,cloudy,team_b_win
10,2484876,0.88,0.94,4,1,away,cloudy,team_b_win
11,2484875,3.02,2.37,3,5,neutral,sunny,team_a_win
12,2484874,0.64,0.72,1,4,neutral,cloudy,team_b_win
13,2484873,1.03,1.9,4,5,away,cloudy,draw
14,2484872,2.41,0.77,2,5,away,rainy,team_b_win
15,2484871,1.11,0.81,4,2,home,rainy,team_a_win
16,2484870,3.07,3.36,5,5,home,cloudy,team_b_win
17,2484869,2.68,2.01,1,1,neutral,sunny,draw
18,2484868,3.07,1.52,4,1,away,cloudy,team_b_win
19,2484867,2.27,0.59,4,1,away,rainy,team_b_win
20,2484866,3.31,0.7,3,3,home,sunny,team_b_win
21,2484865,0.63,0.68,1,3,away,cloudy,team_a_win
22,2484864,1.76,2.93,2,4,home,sunny,team_b_win
23,2484863,2.76,2.65,2,1,neutral,rainy,team_a_win
24,2484862,2.53,2.27,4,4,home,sunny,team_b_win
25,2484861,1.33,2.66,1,1,home,cloudy,team_b_win
26,2484860,1.93,3.31,5,1,neutral,cloudy,team_a_win
27,2484859,1.19,1.88,1,2,neutral,sunny,draw
28,2484858,2.26,0.91,3,4,neutral,rainy,team_b_win
29,2484857,3.27,2.14,1,2,home,sunny,team_b_win
30,2484856,3.31,2.79,3,3,neutral,rainy,team_a_win
31,2484855,1.71,1.75,3,4,away,cloudy,draw
32,2484854,1.17,2.28,3,4,away,rainy,draw
33,2484853,2.03,1.31,1,5,neutral,cloudy,draw
34,2484852,2.76,1.69,4,1,neutral,cloudy,draw
35,2484851,2.55,2.41,3,4,neutral,cloudy,draw
36,2484850,3.09,1.76,1,2,away,rainy,team_a_win
37,2484849,0.55,1.82,4,5,home,cloudy,team_b_win
38,2484848,0.56,3.32,2,3,home,rainy,team_a_win
39,2484847,2.75,2.75,3,1,away,sunny,draw
40,2484846,3.15,1.05,5,1,home,sunny,draw
41,2484845,2.11,1.25,4,3,away,cloudy,draw
42,2484844,1.63,3.22,3,3,away,rainy,draw
43,2484843,1.59,2.96,5,1,away,rainy,team_b_win
44,2484842,2.26,3.14,1,2,away,sunny,draw
45,2484841,2.42,2.4,2,1,away,cloudy,team_a_win
46,2484840,2.9,1.28,4,1,away,sunny,team_b_win
47,2484839,0.86,1.48,1,1,neutral,rainy,draw
48,2484838,0.9,2.43,1,2,away,sunny,team_a_win
49,2484837,0.96,1.28,1,2,home,sunny,team_b_win
50,2484836,3.33,1.73,5,3,neutral,sunny,team_b_win
51,2484835,0.92,1.4,5,1,home,rainy,draw
52,2484834,2.66,0.86,5,2,neutral,cloudy,team_b_win
53,2484833,2.94,2.48,2,4,away,sunny,draw
54,2484832,1.29,1.09,1,4,neutral,cloudy,team_b_win
55,2484831,0.51,3.23,1,2,home,cloudy,draw
56,2484830,2.16,2.73,3,3,neutral,cloudy,draw
57,2484829,0.68,1.24,3,3,home,sunny,draw
58,2484828,2.02,2.35,3,5,home,cloudy,team_b_win
59,2484827,3.34,3.37,3,3,away,sunny,team_a_win
60,2484826,1.12,2.57,2,3,neutral,cloudy,team_b_win
61,2484825,1.21,2.85,4,4,home,cloudy,team_a_win
62,2484824,0.95,1.56,5,3,home,rainy,draw
63,2484823,3.27,0.78,5,4,neutral,sunny,team_a_win
64,2484822,3.38,0.95,5,3,away,rainy,draw
65,2484821,1.08,2.76,4,3,home,rainy,team_a_win
66,2484820,1.93,2.88,4,3,home,sunny,team_b_win
67,2484819,0.72,2.37,4,4,home,rainy,team_b_win
68,2484818,0.83,3.05,5,5,away,sunny,team_a_win
69,2484817,2.36,3.4,2,1,away,sunny,draw
70,2484816,3.15,0.82,4,1,neutral,sunny,team_a_win
71,2484815,1.23,0.66,1,2,away,sunny,team_b_win
72,2484814,1.58,3.02,1,3,home,rainy,team_a_win
73,2484813,1.33,1.46,2,2,away,sunny,team_b_win
74,2484812,2.16,3.45,4,5,away,rainy,team_a_win
75,2484811,2.39,1.01,3,4,neutral,cloudy,draw
76,2484810,1.67,0.83,1,3,away,rainy,draw
77,2484809,2.17,2,3,3,home,cloudy,team_a_win
78,2484808,1.53,2.14,4,5,home,cloudy,team_a_win
79,2484807,1.19,0.89,5,4,home,rainy,team_a_win
80,2484806,1.9,2.56,3,5,away,cloudy,team_a_win
81,2484805,1.21,0.84,3,1,away,rainy,draw
82,2484804,3.17,1.2,2,2,home,rainy,draw
83,2484803,1.41,1.71,5,3,neutral,cloudy,draw
84,2484802,2.48,1.31,5,1,away,rainy,team_a_win
85,2484801,0.87,2.08,2,1,away,sunny,team_b_win
86,2484800,2.33,0.84,4,5,home,rainy,team_b_win
87,2484799,0.75,0.56,4,3,neutral,cloudy,team_a_win
88,2484798,2.97,0.9,4,5,neutral,cloudy,team_b_win
89,2484797,1.99,2.13,2,5,away,cloudy,team_a_win
90,2484796,3.07,3.43,5,2,away,sunny,draw
91,2484795,0.76,2.28,2,5,home,cloudy,draw
92,2484794,1.82,1.25,4,3,home,cloudy,team_a_win
93,2484793,1.25,2.92,3,2,away,cloudy,draw
94,2484792,2.67,1.02,5,2,neutral,sunny,team_a_win
95,2484791,1.66,0.89,5,4,home,rainy,team_b_win
96,2484790,2.28,3.18,2,5,neutral,rainy,team_b_win
97,2484789,1.67,2.25,2,5,away,cloudy,team_a_win
98,2484788,0.93,0.87,5,5,home,cloudy,draw
99,2484787,0.98,2.68,1,2,away,rainy,draw
100,2484786,3.09,0.9,5,4,home,cloudy,team_b_win
101,2484785,1.12,1.44,3,2,home,cloudy,team_a_win
102,2484784,1.85,0.56,2,2,away,sunny,team_a_win
103,2484783,2.38,2.55,1,1,home,cloudy,team_b_win
104,2484782,2.36,3.28,5,2,home,cloudy,team_b_win
105,2484781,1.76,3.35,4,4,home,sunny,team_a_win
106,2484780,2.32,3.24,3,5,away,sunny,team_a_win
107,2484779,2.81,0.63,5,3,neutral,cloudy,team_b_win
108,2484778,1.66,1.2,4,1,neutral,cloudy,team_a_win
109,2484777,1.83,1.76,1,3,neutral,sunny,team_b_win
110,2484776,2.77,0.6,2,2,away,rainy,team_b_win
111,2484775,1.01,1.48,1,1,home,sunny,team_a_win
112,2484774,0.7,2.68,1,4,home,cloudy,team_b_win
113,2484773,3.44,2.21,4,1,home,rainy,team_a_win
114,2484772,2.03,1.47,2,5,home,cloudy,team_b_win
115,2484771,2.52,2.37,3,3,home,rainy,draw
116,2484770,2.13,2.88,1,1,neutral,rainy,draw
117,2484769,1.93,1.01,2,2,away,cloudy,team_a_win
118,2484768,2.96,0.91,3,3,home,rainy,team_b_win
119,2484767,1.85,1.07,4,4,neutral,sunny,team_a_win
120,2484766,2.41,0.72,4,5,home,sunny,team_a_win
121,2484765,0.51,2.49,3,3,away,rainy,draw
122,2484764,0.77,2.42,2,4,neutral,sunny,draw
123,2484763,1.67,3.4,4,3,neutral,sunny,team_b_win
124,2484762,2.75,1.01,2,5,home,cloudy,draw
125,2484761,1.07,2.48,5,2,home,cloudy,team_b_win
