Machine Learning Method,ML Method Parameters,Text Normalization,Text Representation,Avg F-Score
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.5442185792349726
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6017907364506943
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6994343113930743
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6994343113930743
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.5778911061837892
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.36630417651694247
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6611913521665086
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6645143745143745
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.5442185792349726
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.6017907364506943
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.6017907364506943
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.6017907364506943
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.5778911061837892
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.35578304048892284
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.6375995306344816
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.6413301752011429
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.4975964579380139
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.5678709677419355
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.7011973967925232
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.6994343113930743
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.5687074829931973
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.3635671215487147
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.6611913521665086
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.6996528906280469
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.4975964579380139
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.5678709677419355
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.5678709677419355
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.5678709677419355
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.5687074829931973
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.3596927803379416
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.6705587152893944
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.6451570247933884
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.4162009419152276
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.35892857142857143
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.3582942830365511
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.5268109668109668
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.6421652507784866
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.3554124116260801
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.6992617771838552
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.6992617771838552
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.4162009419152276
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.35892857142857143
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.35892857142857143
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.35892857142857143
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.6421652507784866
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.35892857142857143
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.6816890700677017
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.6851475322063557
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.807196029776675
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.7018997752069741
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.7018997752069741
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.7018997752069741
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.7362599571884759
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.3573354735152488
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.7811902195301406
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.696721165013848
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.807196029776675
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.7018997752069741
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.7018997752069741
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.7018997752069741
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.7362599571884759
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.3573354735152488
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.8143494845075873
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.6924753080134407
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.7416345270890725
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.5963457526080476
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6152907216494846
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.685447409733124
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6375510204081632
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.36089528377298163
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.6108852459016394
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.678
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.7416345270890725
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.5963457526080476
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.5963457526080476
